year;player
2021;Nikola Jokic
2020;Giannis Antetokounmpo
2019;Giannis Antetokounmpo
2018;James Harden
2017;Russell Westbrook
2016;Stephen Curry
2015;Stephen Curry
2014;Kevin Durant
2013;LeBron James
2012;LeBron James
2011;Derrick Rose
2010;LeBron James
2009;LeBron James
